web_name,element_type,team_code_code,team_code_code,name
Bettinelli,1,8,,
Chalobah,2,8,,
Chilwell,2,8,,
Chukwuemeka,3,8,,
Colwill,2,8,,
Cucurella,2,8,,
Enzo,3,8,,
W.Fofana,2,8,,
Gallagher,3,8,,
Gusto,2,8,,
James,2,8,,
Lukaku,4,8,,
Madueke,3,8,,
Mudryk,3,8,,
N.Jackson,4,8,,
Nkunku,4,8,,
Pulisic,3,8,,
M.Sarr,2,8,,
Slonina,1,8,,
Sterling,3,8,,
T.Silva,2,8,,
Ziyech,3,8,,
Palmer,3,8,,
Ângelo,3,8,,
Maatsen,3,8,,
Disasi,2,8,,
Ugochukwu,3,8,,
Burstow,4,8,,
Bergström,1,8,,
Lavia,3,8,,
Humphreys,2,8,,
Deivid,4,8,,
Beach,1,8,,
Diego Moreira,3,8,,
Petrović,1,8,,
Gilchrist,2,8,,
Stutter,4,8,,
Matos,3,8,,
Brooking,2,8,,
Castledine,3,8,,
Casadei,3,8,,
Samuels-Smith,2,8,,
Harrison,3,8,,
Tauriainen,3,8,,
Holding,2,31,,
Ahamada,3,31,,
Andersen,2,31,,
J.Ayew,3,31,,
Clyne,2,31,,
C.Doucouré,3,31,,
Ebiowei,3,31,,
Edouard,4,31,,
Eze,3,31,,
Guaita,1,31,,
Guéhi,2,31,,
Hughes,3,31,,
Johnstone,1,31,,
Lerma,3,31,,
Mateta,4,31,,
Matthews,1,31,,
Mitchell,2,31,,
O'Brien,2,31,,
Olise,3,31,,
Plange,4,31,,
C.Richards,2,31,,
Riedewald,3,31,,
Schlupp,3,31,,
Tomkins,2,31,,
Ward,2,31,,
Whitworth,1,31,,
Henderson,1,31,,
Matheus França,3,31,,
Rak-Sakyi,3,31,,
Gordon,4,31,,
Ola-Adebomi,4,31,,
Ozoh,3,31,,
Raymond,3,31,,
Adaramola,2,31,,
Muñoz,2,31,,
Wharton,3,31,,
Umeh-Chibueze,4,31,,
Rodney,3,31,,
André Gomes,3,11,,
Branthwaite,2,11,,
Calvert-Lewin,4,11,,
Coleman,2,11,,
Dele,3,11,,
A.Doucoure,3,11,,
Garner,3,11,,
Gbamin,3,11,,
Godfrey,2,11,,
Gray,3,11,,
Gana,3,11,,
Keane,2,11,,
McNeil,3,11,,
Mykolenko,2,11,,
Onana,3,11,,
Patterson,2,11,,
Pickford,1,11,,
Simms,4,11,,
Tarkowski,2,11,,
J.Virginia,1,11,,
Lonergan,1,11,,
Young,2,11,,
Danjuma,3,11,,
Dobbin,3,11,,
Y. Chermiti,4,11,,
Cannon,4,11,,
Onyango,3,11,,
Harrison,3,11,,
Beto,4,11,,
Hunt,3,11,,
Metcalfe,3,11,,
Campbell,2,11,,
Broja,4,54,,
Iwobi,3,54,,
Andreas,3,54,,
Cairney,3,54,,
I.Cavaleiro,3,54,,
De Cordova-Reid,3,54,,
Diop,2,54,,
Francois,3,54,,
Knockaert,3,54,,
Kongolo,2,54,,
Leno,1,54,,
Lukić,3,54,,
Mbabu,2,54,,
Mitrović,4,54,,
Muniz,4,54,,
J.Palhinha,3,54,,
Ream,2,54,,
Reed,3,54,,
Robinson,2,54,,
Rodák,1,54,,
Tete,2,54,,
Tosin,2,54,,
Vinícius,4,54,,
Wilson,3,54,,
Raúl,4,54,,
Willian,3,54,,
Bassey,2,54,,
De Fougerolles,2,54,,
Stansfield,4,54,,
Dibley-Dias,3,54,,
Adama,3,54,,
Harris,3,54,,
Castagne,2,54,,
Benda,1,54,,
Ballo-Touré,2,54,,
Tanton,2,54,,
Sekularac,3,54,,
King,3,54,,
Adrián,1,14,,
Alexander-Arnold,2,14,,
A.Becker,1,14,,
Bajcetic,3,14,,
Darwin,4,14,,
Diogo J.,3,14,,
Elliott,3,14,,
Fabinho,3,14,,
Gakpo,4,14,,
Gomez,2,14,,
Henderson,3,14,,
Jones,3,14,,
Kelleher,1,14,,
Konaté,2,14,,
Luis Díaz,3,14,,
Mac Allister,3,14,,
Matip,2,14,,
Phillips,2,14,,
Robertson,2,14,,
Salah,3,14,,
Szoboszlai,3,14,,
Thiago,3,14,,
Tsimikas,2,14,,
Van den Berg,2,14,,
Virgil,2,14,,
Quansah,2,14,,
Clark,3,14,,
Doak,3,14,,
McConnell,3,14,,
Endo,3,14,,
Gravenberch,3,14,,
Chambers,2,14,,
Scanlon,2,14,,
Nyoni,3,14,,
Pitaluga,1,14,,
Bradley,2,14,,
Beck,2,14,,
Gordon,3,14,,
Koumas,4,14,,
Mrozek,1,14,,
Danns,4,14,,
Sambi,3,102,,
Nakamba,3,102,,
Adebayo,4,102,,
Andersen,2,102,,
Bell,2,102,,
Berry,3,102,,
Burke,2,102,,
Campbell,3,102,,
Clark,3,102,,
Doughty,2,102,,
Freeman,3,102,,
Macey,1,102,,
McAtee,4,102,,
Mendes,3,102,,
Morris,4,102,,
Muskwe,4,102,,
Ogbene,4,102,,
Onyedinma,3,102,,
Osho,2,102,,
Pepple,4,102,,
Pereira,3,102,,
Potts,2,102,,
Rea,3,102,,
Shea,1,102,,
Taylor,4,102,,
Thorpe,3,102,,
Walton,1,102,,
Watson,3,102,,
Woodrow,4,102,,
Mengi,2,102,,
Giles,2,102,,
Lockyer,2,102,,
Mpanzu,3,102,,
Chong,3,102,,
Kaboré,2,102,,
Kaminski,1,102,,
Barkley,3,102,,
Brown,4,102,,
Francis-Clarke,2,102,,
Krul,1,102,,
Johnson,2,102,,
Townsend,3,102,,
Luker,3,102,,
Nelson,3,102,,
Hashioka,2,102,,
Piesold,3,102,,
Akanji,2,43,,
Aké,2,43,,
J.Alvarez,4,43,,
Bernardo,3,43,,
Bobb,3,43,,
Cancelo,2,43,,
Carson,1,43,,
Charles,3,43,,
De Bruyne,3,43,,
Rúben,2,43,,
Ederson M.,1,43,,
Foden,3,43,,
Grealish,3,43,,
Haaland,4,43,,
Kovačić,3,43,,
Laporte,2,43,,
R.Lewis,2,43,,
Mahrez,3,43,,
Ortega Moreno,1,43,,
Perrone,3,43,,
Rodrigo,3,43,,
Sergio Gómez,2,43,,
Steffen,1,43,,
Stones,2,43,,
Walker,2,43,,
Matheus N.,3,43,,
Gvardiol,2,43,,
Doku,3,43,,
Susoho,3,43,,
Hamilton,3,43,,
Wright,3,43,,
Mount,3,1,,
Alex Telles,2,1,,
Amad,3,1,,
Antony,3,1,,
B.Fernandes,3,1,,
B.Williams,2,1,,
Bailly,2,1,,
Casemiro,3,1,,
Dalot,2,1,,
Eriksen,3,1,,
Fernandez,2,1,,
Fred,3,1,,
Garnacho,3,1,,
Hannibal,3,1,,
Heaton,1,1,,
Lindelof,2,1,,
Maguire,2,1,,
Mainoo,3,1,,
Malacia,2,1,,
Martial,4,1,,
Martinez,2,1,,
McTominay,3,1,,
Pellistri,3,1,,
R.Varane,2,1,,
Rashford,3,1,,
Sancho,3,1,,
Shaw,2,1,,
Shoretire,4,1,,
Van de Beek,3,1,,
Wan-Bissaka,2,1,,
Onana,1,1,,
Højlund,4,1,,
Forson,3,1,,
Vítek,1,1,,
Gore,3,1,,
Altay,1,1,,
Evans,2,1,,
Amrabat,3,1,,
Hugill,4,1,,
Kambwala,2,1,,
Bennett,2,1,,
Collyer,3,1,,
Ogunneye,2,1,,
Hall,2,4,,
Almirón,3,4,,
Anderson,3,4,,
Ashby,2,4,,
Botman,2,4,,
Bruno G.,3,4,,
Burn,2,4,,
Darlow,1,4,,
Dubravka,1,4,,
Fraser,3,4,,
Gillespie,1,4,,
Gordon,3,4,,
Hayden,3,4,,
Hendrick,3,4,,
Isak,4,4,,
Joelinton,3,4,,
Krafth,2,4,,
Kuol,3,4,,
Lascelles,2,4,,
J.Lewis,2,4,,
Longstaff,3,4,,
Manquillo,2,4,,
J.Murphy,3,4,,
Pope,1,4,,
Ritchie,3,4,,
Saint-Maximin,3,4,,
Schär,2,4,,
Targett,2,4,,
Tonali,3,4,,
Trippier,2,4,,
Watts,2,4,,
Willock,3,4,,
Wilson,4,4,,
Karius,1,4,,
Dummett,2,4,,
Barnes,3,4,,
Livramento,2,4,,
A.Murphy,2,4,,
